uv_ID,nom_UV,code_UV,lvl_uv
0,PRIME,1A-S2-PRI,niveau 1
1,Activités sportives,Code UV0,niveau 1
2,SSG,Code UV1,niveau 1
3,activités sportives,Code UV2,niveau 1
4,Capacité à communiquer en anglais,Code UV0,niveau 1
5,Capacité à communiquer en LV2,Code UV1,niveau 1
6,Soutenance Stage Op,Code UV0,niveau 1
7,Anglais,Code UV1,niveau 1
8,LV2,Code UV2,niveau 1
9,Info,Code UV0,niveau 1
10,Physique,Code UV1,niveau 1
11,calcul scientifique,Code UV2,niveau 1
12,Physique-Chimie,1A-S2-PHY,niveau 1
13,AEP,1A-S2-AEP,niveau 1
14,Méthodes et outils mathématiques,1A-S2-MATH,niveau 1
15,info,Code UV0,niveau 1
16,Niveau-Situation0,Code UV0,niveau 1
17,Niveau-Situation1,Code UV1,niveau 1
18,capacité à communiquer en anglais,Code UV0,niveau 1
19,capacité à communiquer en LV2,Code UV1,niveau 1
20,Soutenance Stage op,Code UV0,niveau 1
21,Capacitè à communiquer en anglais,Code UV1,niveau 1
22,Capacitè à communiquer en LV2,Code UV2,niveau 1
23,Calcul Scientifique,A1-S1-CSC,niveau 1
24,Complements sciences pour l'ingénieur,1A-S1-UV2,niveau 1
25,Conception et Programmation Objets,Code UV0,niveau 1
26,Modélisation Physique-Chimie,1A-S2-PHY,niveau 1
27,Bases de l'Auto et de l'optim,Code UV3,niveau 1
28,Complement sciences pour l'ingénieur,1A-S1-UV2,niveau 1
29,Soutenance Stage Opérateur,stage,niveau 1
30,Capacité a comuniquer en LV2,Code UV2,niveau 1
31,Informatique,Code UV0,niveau 1
32,Calcul scientifique,1A-S1-UV7,niveau 1
33,Auto & Optim,Code UV0,niveau 1
34,Physique-Chimie et Simulation,Code UV2,niveau 1
